[20.10.2014 22:44:05]Information>>Start program.
[20.10.2014 22:44:06]Information>>Открываем базу...
[20.10.2014 22:44:06]Information>>Открываем таблицы...
[20.10.2014 22:44:24]Information>>Start load...
[20.10.2014 22:44:27]Information>>Do GetHtmlTable...
[20.10.2014 22:44:27]Information>>URL:http://parts.japancar.ru/?code=parts&mode=old&cl=search_partsoldng&cl_partCode=3cvFLjAwNg_289&cl_marka=ISUZU&cl_model=ELF
[20.10.2014 22:44:32]Information>>Найдено позиций: 0
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P273817097.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P334105579.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P310639949.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P278329343.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P297362730.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P326399595.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P326399946.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P326399948.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P326399949.html
[20.10.2014 22:44:32]Information>>Skip append: duplicate record.
[20.10.2014 22:44:32]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P326399953.html
