[26.10.2014 22:29:44]Information>>Start program.
[26.10.2014 22:29:44]Information>>Открываем базу...
[26.10.2014 22:29:45]Information>>Открываем таблицы...
[26.10.2014 22:29:55]Information>>Start load...
[26.10.2014 22:30:05]Information>>Do GetHtmlTable...
[26.10.2014 22:30:05]Information>>URL:http://parts.japancar.ru/?code=parts&mode=old&cl=search_partsoldng&cl_partCode=3cvFLjAwNg_289&cl_marka=ISUZU&cl_model=ELF
[26.10.2014 22:30:09]Information>>Найдено позиций: 0
[26.10.2014 22:30:09]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P315109823.html
[26.10.2014 22:30:09]Information>>Skip append: duplicate record.
[26.10.2014 22:30:09]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P214706086.html
[26.10.2014 22:30:09]Information>>Skip append: duplicate record.
[26.10.2014 22:30:09]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P298328185.html
[26.10.2014 22:30:09]Information>>Skip append: duplicate record.
[26.10.2014 22:30:09]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P214694797.html
[26.10.2014 22:30:09]Information>>Skip append: duplicate record.
[26.10.2014 22:30:09]Information>>Append new record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P314932274.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P302443333.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P278329343.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P248268173.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P307116082.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P273859799.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P314647676.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P335791884.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P310639949.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P304026017.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P297362730.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P240709561.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P176854837.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P176854843.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P176854846.html
[26.10.2014 22:30:10]Information>>Skip append: duplicate record.
[26.10.2014 22:30:10]Information>>Do GetURL Page...
[26.10.2014 22:30:46]Information>>Do GetHtmlTable...
[26.10.2014 22:30:46]Information>>URL:http://parts.japancar.ru/?code=parts&mode=old&cl=search_partsoldng&cl_partCode=3cvFLjAwNg_289&cl_marka=ISUZU&cl_model=ELF&page=2
[26.10.2014 22:30:50]Information>>Найдено позиций: 0
[26.10.2014 22:30:50]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P218333923.html
[26.10.2014 22:30:50]Information>>Skip append: duplicate record.
[26.10.2014 22:30:50]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P227790632.html
[26.10.2014 22:30:50]Information>>Skip append: duplicate record.
[26.10.2014 22:30:50]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P227790633.html
[26.10.2014 22:30:50]Information>>Skip append: duplicate record.
[26.10.2014 22:30:50]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P235964228.html
[26.10.2014 22:30:50]Information>>Skip append: duplicate record.
[26.10.2014 22:30:50]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P235964229.html
[26.10.2014 22:30:50]Information>>Skip append: duplicate record.
[26.10.2014 22:30:50]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P235964231.html
[26.10.2014 22:30:50]Information>>Skip append: duplicate record.
[26.10.2014 22:30:50]Information>>NOT Unique string: http://parts.japancar.ru/jc/view/parts/P235964236.html
